epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,299.906,0.85536,0.57121,0.83339,0.88416,0.8681,0.90256,0.67356,0.89107,0.5341,0.81295,0.000418046,0.000418046,0.000418046
60,304.779,0.90198,0.57754,0.86686,0.84875,0.86615,0.90221,0.6939,0.70864,0.46924,0.79939,0.000401231,0.000401231,0.000401231
61,309.587,0.8858,0.5494,0.82682,0.87102,0.87061,0.90419,0.69283,0.79942,0.50905,0.81084,0.000384568,0.000384568,0.000384568
62,314.514,0.87886,0.5774,0.84454,0.87622,0.88952,0.90724,0.68852,0.79545,0.50747,0.81411,0.000368075,0.000368075,0.000368075
63,319.429,0.88435,0.56802,0.84099,0.87986,0.87828,0.91399,0.68075,0.83332,0.51525,0.8181,0.000351767,0.000351767,0.000351767
64,324.284,0.88442,0.59634,0.84058,0.95211,0.87366,0.90926,0.69785,0.74785,0.49655,0.80513,0.00033566,0.00033566,0.00033566
65,329.085,0.88073,0.575,0.83053,0.94541,0.86755,0.90791,0.67757,0.86528,0.48421,0.81614,0.000319772,0.000319772,0.000319772
66,334.06,0.89171,0.57095,0.85629,0.90472,0.87846,0.90794,0.68648,0.81821,0.49243,0.80922,0.000304116,0.000304116,0.000304116
67,339.026,0.84806,0.52289,0.82728,0.88549,0.88466,0.90419,0.65806,0.92797,0.53134,0.81908,0.000288709,0.000288709,0.000288709
68,344.07,0.83645,0.51411,0.8384,0.87817,0.87471,0.89605,0.69766,0.70936,0.46471,0.79767,0.000273566,0.000273566,0.000273566
69,349.193,0.86244,0.53392,0.82421,0.90428,0.85859,0.8977,0.68532,0.85393,0.49206,0.81086,0.000258701,0.000258701,0.000258701
70,354.174,0.84648,0.51341,0.83163,0.9504,0.85634,0.9032,0.68985,0.81187,0.48236,0.80434,0.00024413,0.00024413,0.00024413
71,359.115,0.85645,0.54959,0.81953,0.9599,0.85836,0.90614,0.70591,0.78091,0.4857,0.8039,0.000229867,0.000229867,0.000229867
72,364.089,0.82398,0.52091,0.82212,0.93974,0.87966,0.90811,0.70279,0.79262,0.47742,0.80845,0.000215926,0.000215926,0.000215926
73,369.019,0.83192,0.51517,0.81831,0.93963,0.88061,0.9088,0.71386,0.75559,0.44601,0.80082,0.000202321,0.000202321,0.000202321
74,374.054,0.82134,0.55536,0.83332,0.93305,0.88043,0.90846,0.69951,0.77758,0.44721,0.79944,0.000189064,0.000189064,0.000189064
75,378.986,0.83417,0.5297,0.83227,0.91484,0.87067,0.9072,0.71371,0.71959,0.44171,0.79363,0.00017617,0.00017617,0.00017617
76,383.916,0.79413,0.47988,0.82827,0.93798,0.85501,0.90836,0.68408,0.84055,0.4644,0.8097,0.00016365,0.00016365,0.00016365
77,388.788,0.85545,0.52416,0.81665,0.96176,0.84588,0.90717,0.70099,0.75622,0.44654,0.80197,0.000151518,0.000151518,0.000151518
78,393.73,0.79425,0.48746,0.81819,0.89252,0.88158,0.90607,0.6776,0.80451,0.4683,0.8037,0.000139785,0.000139785,0.000139785
79,398.604,0.81686,0.5142,0.81414,0.889,0.87481,0.90466,0.70415,0.74573,0.46438,0.79609,0.000128463,0.000128463,0.000128463
80,403.546,0.83501,0.52992,0.83749,0.91249,0.88121,0.90252,0.71565,0.7176,0.46088,0.791,0.000117563,0.000117563,0.000117563
81,408.563,0.83038,0.51094,0.82744,0.92235,0.88042,0.90151,0.71276,0.75059,0.45362,0.79684,0.000107096,0.000107096,0.000107096
82,413.55,0.79169,0.48974,0.82325,0.92891,0.8715,0.90046,0.71251,0.72721,0.44942,0.79862,9.70717e-05,9.70717e-05,9.70717e-05
83,418.523,0.80936,0.48206,0.82487,0.92385,0.88958,0.90145,0.71599,0.72755,0.44446,0.79774,8.75004e-05,8.75004e-05,8.75004e-05
84,423.531,0.78015,0.47828,0.82663,0.92051,0.88732,0.90148,0.70011,0.83034,0.47086,0.80421,7.83914e-05,7.83914e-05,7.83914e-05
85,428.459,0.76907,0.50639,0.83172,0.92197,0.88585,0.89986,0.69899,0.8184,0.47416,0.80211,6.97539e-05,6.97539e-05,6.97539e-05
